ID,log2FC,FDR,label
ENSMUSG00000019866,7.97E-01,2.60E-01,
ENSMUSG00000019905,2.30E-01,2.15E-01,
ENSMUSG00000019935,2.91E-01,2.75E-01,
ENSMUSG00000019951,-4.84E-01,1.67E-01,
ENSMUSG00000019961,-4.40E-01,7.13E-01,
ENSMUSG00000019969,-4.66E-01,6.66E-01,
ENSMUSG00000019978,-1.37E-01,9.32E-01,
ENSMUSG00000019990,1.49E-01,8.37E-01,
ENSMUSG00000020000,2.12E-01,8.94E-01,
ENSMUSG00000020021,-6.85E-02,9.48E-01,
ENSMUSG00000020023,-5.60E-01,6.97E-01,
ENSMUSG00000020034,-2.98E-01,8.09E-01,
ENSMUSG00000020074,3.71E-01,7.53E-02,
ENSMUSG00000020076,2.72E-01,6.95E-01,
ENSMUSG00000020078,-5.11E+00,4.48E-03,
ENSMUSG00000020097,1.63E+00,1.95E-04,
ENSMUSG00000020121,5.00E-01,6.63E-01,
ENSMUSG00000020124,6.06E-01,6.71E-08,
ENSMUSG00000020131,-1.32E-02,9.66E-01,
ENSMUSG00000020133,-1.05E+00,2.16E-01,
ENSMUSG00000020134,2.47E-01,5.28E-01,
ENSMUSG00000020135,-5.02E-01,4.15E-02,
ENSMUSG00000020137,3.77E-02,9.64E-01,
ENSMUSG00000020140,8.99E-03,9.65E-01,
ENSMUSG00000020143,-9.38E-01,5.66E-01,
ENSMUSG00000020156,-5.87E-01,8.08E-03,
ENSMUSG00000020170,-6.08E-01,3.43E-01,
ENSMUSG00000020177,1.17E-01,8.91E-01,
ENSMUSG00000020189,-1.05E-01,9.26E-01,
ENSMUSG00000020198,-2.84E-02,9.63E-01,
ENSMUSG00000020211,2.08E-01,2.60E-01,
ENSMUSG00000020220,-1.57E+00,2.42E-02,
ENSMUSG00000020232,9.44E-01,8.57E-21,
ENSMUSG00000020238,-1.62E-01,6.68E-01,
ENSMUSG00000020241,-1.73E+00,2.19E-01,
ENSMUSG00000020248,3.17E-01,7.69E-01,
ENSMUSG00000020255,-3.02E-01,5.11E-02,
ENSMUSG00000020264,1.99E+00,1.34E-07,
ENSMUSG00000020268,5.03E-01,5.00E-01,
ENSMUSG00000020275,-1.37E+00,4.45E-01,
ENSMUSG00000020299,2.72E-01,8.20E-01,
ENSMUSG00000020300,-1.79E-02,9.91E-01,
ENSMUSG00000020309,-5.24E-01,6.15E-01,
ENSMUSG00000020349,9.56E-01,3.12E-01,
ENSMUSG00000020368,-9.33E-01,4.86E-01,
ENSMUSG00000020380,1.10E+00,1.43E-04,
ENSMUSG00000020387,-2.55E-01,7.48E-01,
ENSMUSG00000020388,1.96E-01,8.44E-01,
ENSMUSG00000020420,-4.60E-01,4.65E-01,
ENSMUSG00000020435,-2.48E-01,8.76E-01,
ENSMUSG00000020440,5.55E-01,4.20E-04,
ENSMUSG00000020451,4.83E-01,4.32E-01,
ENSMUSG00000020453,1.48E-01,8.86E-01,
ENSMUSG00000020455,-2.78E-01,6.73E-01,
ENSMUSG00000020458,2.02E-01,4.70E-01,
ENSMUSG00000020515,5.47E-01,3.03E-01,
ENSMUSG00000020564,-3.19E-01,6.29E-01,
ENSMUSG00000020580,2.31E-01,7.30E-01,
ENSMUSG00000020604,1.46E+00,6.87E-02,
ENSMUSG00000020639,-5.73E-01,2.51E-01,
ENSMUSG00000020642,-2.16E+00,7.02E-26,
